Company,ZIP,City,Country,State,Sales,County,latitude,longitude,Year
Heavy Fleet Products,20109,Manassas,USA,VA,0,Manassas,38.79472,-77.53105,2023
Rex Radiator Sales & Distribution,60106,Bensenville,USA,IL,2966,DuPage,41.9611,-87.94194,2023
"Aetna Truck Parts, Inc.",60609,Chicago,USA,IL,15895,Cook,41.81263,-87.65559,2023
"Old River Companies, Inc.",39218,Richland,USA,MS,0,Rankin,32.22825,-90.15857,2023
"Old River of New Orleans, LLC",70087,St. Rose,USA,LA,6497,St. Charles,29.98092,-90.31264,2023
"Zientara Fleet Equipment, Inc.",54403,Wausau,USA,WI,955,Marathon,45.03142,-89.51343,2023
First Call Truck Parts,32304,Tallahassee,USA,FL,55469,Leon,30.45346,-84.35314,2023
Total Truck Parts,32804,Orlando,USA,FL,6760,Orange,28.57688,-81.39748,2023
Houston Truck Parts,77020,Houston,USA,TX,4105,Harris,29.76842,-95.30878,2023
Safe Way Auto Sales Inc.,02809,Bristol,USA,RI,0,Bristol,41.68266,-71.26938,2023
Gregory's Fleet Supply,23462,Virginia Beach,USA,VA,0,Virginia Beach,36.8366,-76.15105,2023
Plaza Fleet Parts & Service,63104,St. Louis,USA,MO,0,St. Louis,38.61078,-90.21276,2023
Plaza Fleet Service,63104,St. Louis,USA,MO,0,St. Louis,38.61078,-90.21276,2023
Midwest Wheel - Des Moines,50316,Des Moines,USA,IA,90422,Polk,41.60877,-93.59775,2023
Midwest Wheel - Davenport,52806,Davenport,USA,IA,83209,Scott,41.58918,-90.62553,2023
Midwest Wheel - Clear Lake,50428,Clear Lake,USA,IA,0,Cerro Gordo,43.13573,-93.38815,2023
Midwest Wheel - Cedar Rapids,52404,Cedar Rapids,USA,IA,54522,Linn,41.92153,-91.69077,2023
Midwest Wheel - Sioux City,51101,Sioux City,USA,IA,6989,Woodbury,42.49413,-96.39361,2023
Midwest Wheel - Kansas City,64120,Kansas City,USA,MO,6722,Jackson,39.13142,-94.51489,2023
American Truck Center,33916,Ft. Myers,USA,FL,0,Lee,26.63998,-81.84104,2023
"DPF Alternatives NC, LLC",28208,Charlotte,USA,NC,0,Mecklenburg,35.23153,-80.90611,2023
S & F Radiator Service,07047,North Bergen,USA,NJ,0,Hudson,40.79376,-74.02416,2023
"Trico, LLC",70037,Belle Chasse,USA,LA,231,Plaquemines,29.78669,-90.01523,2023
DPF Regeneration.com LLC,06615,Stratford,USA,CT,7518,Fairfield,41.17082,-73.13477,2023
"Allegheny Trucks, Inc.",16602,Altoona,USA,PA,49747,Blair,40.51491,-78.37052,2023
Kenworth of Central Florida,33619,TAMPA,USA,FL,0,Hillsborough,27.93536,-82.37841,2023
Austin Parts and Service,44311,Akron,USA,OH,0,Summit,41.06427,-81.52047,2023
Warrior Weaver LLC,37129,Murfreesboro,USA,TN,0,Rutherford,35.92556,-86.44098,2023
McCandless International Trucks,89030,North Las Vegas,USA,NV,2872,Clark,36.21235,-115.12313,2023
John Dsuban Spring Service Inc.,45246,Cincinnati,USA,OH,0,Hamilton,39.2906,-84.46612,2023
Skinner Diesel Service,43207,Columbus,USA,OH,0,Franklin,39.89599,-82.96392,2023
